"Subject","Group","dprime"
"104","Explicit-Search",-0.861454598590915
"105","Explicit-Search",2.76598825420128
"107","Explicit-Search",0
"11","Explicit-Search",3.7254637348433
"111","Explicit-Search",3.7254637348433
"112","Explicit-Search",2.76598825420128
"113","Explicit-Search",0.861454598590915
"117","Explicit-Search",0
"119","Explicit-Search",0.861454598590915
"12","Explicit-Search",1.34897950039216
"17","Explicit-Search",2.76598825420128
"19","Explicit-Search",-0.42085678849585
"22","Explicit-Search",0.42085678849585
"27","Explicit-Search",0.42085678849585
"31","Explicit-Search",1.9348431322034
"33","Explicit-Search",2.76598825420128
"35","Explicit-Search",2.76598825420128
"46","Explicit-Search",1.9348431322034
"51","Explicit-Search",1.34897950039216
"54","Explicit-Search",2.76598825420128
"56","Explicit-Search",3.7254637348433
"57","Explicit-Search",-0.42085678849585
"65","Explicit-Search",1.9348431322034
"66","Explicit-Search",3.7254637348433
"7","Explicit-Search",0.861454598590915
"75","Explicit-Search",3.7254637348433
"76","Explicit-Search",1.9348431322034
"77","Explicit-Search",2.76598825420128
"8","Explicit-Search",0.42085678849585
"83","Explicit-Search",0.861454598590915
"84","Explicit-Search",3.7254637348433
"86","Explicit-Search",-1.34897950039216
"87","Explicit-Search",0
"92","Explicit-Search",0.861454598590915
"95","Explicit-Search",1.9348431322034
"96","Explicit-Search",1.34897950039216
"99","Explicit-Search",3.7254637348433
"1","Implicit",0.861454598590915
"10","Implicit",-0.420856788495849
"102","Implicit",-0.42085678849585
"106","Implicit",0.420856788495849
"109","Implicit",1.34897950039216
"110","Implicit",0
"118","Implicit",0
"16","Implicit",0.42085678849585
"24","Implicit",3.7254637348433
"25","Implicit",0.861454598590915
"28","Implicit",3.7254637348433
"29","Implicit",0.42085678849585
"32","Implicit",3.7254637348433
"34","Implicit",1.9348431322034
"37","Implicit",2.76598825420128
"38","Implicit",-1.9348431322034
"39","Implicit",0
"4","Implicit",0
"40","Implicit",-0.861454598590915
"43","Implicit",0.42085678849585
"45","Implicit",3.7254637348433
"47","Implicit",0.861454598590915
"48","Implicit",0.42085678849585
"49","Implicit",0.42085678849585
"5","Implicit",2.76598825420128
"50","Implicit",1.34897950039216
"53","Implicit",2.76598825420128
"59","Implicit",2.76598825420128
"64","Implicit",0.42085678849585
"69","Implicit",2.76598825420128
"74","Implicit",0.42085678849585
"81","Implicit",1.34897950039216
"82","Implicit",-0.42085678849585
"89","Implicit",1.34897950039216
"9","Implicit",0
"90","Implicit",0
"93","Implicit",1.9348431322034
"2","Explicit-Presentation",3.7254637348433
"3","Explicit-Presentation",1.9348431322034
"6","Explicit-Presentation",-0.42085678849585
"13","Explicit-Presentation",3.7254637348433
"14","Explicit-Presentation",0.42085678849585
"15","Explicit-Presentation",0.420856788495849
"18","Explicit-Presentation",1.34897950039216
"20","Explicit-Presentation",0
"26","Explicit-Presentation",-1.9348431322034
"62","Explicit-Presentation",0.861454598590915
"41","Explicit-Presentation",-0.42085678849585
"42","Explicit-Presentation",-0.42085678849585
"44","Explicit-Presentation",-0.420856788495849
"52","Explicit-Presentation",1.9348431322034
"55","Explicit-Presentation",-0.42085678849585
"58","Explicit-Presentation",0.861454598590915
"60","Explicit-Presentation",3.7254637348433
"61","Explicit-Presentation",2.76598825420128
"30","Explicit-Presentation",0.420856788495849
"63","Explicit-Presentation",0.42085678849585
"68","Explicit-Presentation",1.34897950039216
"70","Explicit-Presentation",2.76598825420128
"71","Explicit-Presentation",2.76598825420128
"73","Explicit-Presentation",0.420856788495849
"78","Explicit-Presentation",0
"85","Explicit-Presentation",0.861454598590915
"88","Explicit-Presentation",3.7254637348433
"91","Explicit-Presentation",-0.861454598590915
"94","Explicit-Presentation",1.34897950039216
"97","Explicit-Presentation",0.420856788495849
"98","Explicit-Presentation",1.34897950039216
"101","Explicit-Presentation",-0.420856788495849
"103","Explicit-Presentation",2.76598825420128
"114","Explicit-Presentation",0
"115","Explicit-Presentation",1.34897950039216
"116","Explicit-Presentation",0.42085678849585
"120","Explicit-Presentation",2.76598825420128
